Wall time,Step,Value
1672418817.2632174,1,0.9521999955177307
1672418846.8212729,2,0.9659000039100647
1672418876.8460066,3,0.9718999862670898
1672418906.8142247,4,0.9750000238418579
1672418936.355314,5,0.977400004863739
1672418965.6723354,6,0.9793999791145325
1672418994.756116,7,0.9797999858856201
1672419023.9235172,8,0.9807999730110168
1672419053.2071884,9,0.9818000197410583
1672419082.6564112,10,0.9825000166893005
1672419111.9743185,11,0.9839000105857849
1672419141.459641,12,0.9839000105857849
1672419171.1529033,13,0.9847000241279602
1672419201.4964764,14,0.9857000112533569
1672419231.149296,15,0.9858999848365784
1672419261.0819714,16,0.9864000082015991
1672419290.529824,17,0.98580002784729
1672419320.3722045,18,0.986299991607666
1672419350.089887,19,0.9865000247955322
1672419379.8347242,20,0.9872000217437744
1672419409.5242064,21,0.988099992275238
1672419439.497089,22,0.9886000156402588
1672419469.1065965,23,0.9883999824523926
1672419499.5204635,24,0.9890999794006348
1672419530.0029285,25,0.9891999959945679
1672419560.7873666,26,0.9890999794006348
1672419591.032605,27,0.9894000291824341
1672419621.7828462,28,0.9894000291824341
1672419652.2974303,29,0.9901999831199646
1672419675.8041143,30,0.9904999732971191
1672419697.228321,31,0.989799976348877
1672419718.5956233,32,0.9901000261306763
1672419739.7730384,33,0.9902999997138977
1672419760.9663076,34,0.9907000064849854
1672419781.8829708,35,0.9908999800682068
1672419811.0639114,36,0.9911999702453613
1672419842.0351737,37,0.9911999702453613
1672419872.4823823,38,0.9914000034332275
1672419902.573465,39,0.9916999936103821
1672419933.2763436,40,0.9907000064849854
1672419963.069878,41,0.9909999966621399
1672419993.8729079,42,0.9914000034332275
1672420024.1793957,43,0.991100013256073
1672420054.9748216,44,0.9919000267982483
1672420085.6896563,45,0.9922999739646912
1672420116.0741878,46,0.9919000267982483
1672420146.5828524,47,0.9922000169754028
1672420177.1528978,48,0.991599977016449
1672420207.1903086,49,0.9919000267982483
1672420237.7719965,50,0.9923999905586243
1672420268.4220867,51,0.9919999837875366
1672420298.8559675,52,0.9916999936103821
1672420328.9593751,53,0.9923999905586243
1672420359.476799,54,0.9922000169754028
1672420389.6679296,55,0.9922000169754028
1672420420.6287894,56,0.9923999905586243
1672420451.0246344,57,0.9922999739646912
1672420481.235222,58,0.9926000237464905
1672420511.929457,59,0.9922999739646912
1672420542.9964457,60,0.9922000169754028
1672420573.238452,61,0.9930999875068665
1672420603.667537,62,0.9926999807357788
1672420633.4886785,63,0.992900013923645
1672420663.710581,64,0.993399977684021
1672420694.2113159,65,0.9930999875068665
1672420725.0392716,66,0.9930999875068665
1672420755.6288128,67,0.9926000237464905
1672420786.2513232,68,0.9926000237464905
1672420816.6541884,69,0.9925000071525574
1672420847.2967825,70,0.992900013923645
1672420877.4538894,71,0.9926000237464905
1672420907.90807,72,0.9926000237464905
1672420938.31616,73,0.9927999973297119
1672420968.810333,74,0.9926999807357788
1672420998.722198,75,0.9926000237464905
1672421029.5601,76,0.9926999807357788
1672421059.9476879,77,0.9925000071525574
1672421090.6446548,78,0.992900013923645
1672421120.7321334,79,0.9927999973297119
1672421151.395548,80,0.9925000071525574
1672421181.6805034,81,0.9926000237464905
1672421212.3042874,82,0.9922000169754028
1672421242.590694,83,0.9929999709129333
1672421273.4487872,84,0.992900013923645
1672421303.8072813,85,0.9927999973297119
1672421334.3532703,86,0.9925000071525574
1672421364.7988095,87,0.9926999807357788
1672421395.0395124,88,0.992900013923645
1672421425.602303,89,0.9926999807357788
1672421456.1481414,90,0.9926000237464905
1672421486.175895,91,0.9926000237464905
1672421516.8120377,92,0.9927999973297119
1672421546.7204814,93,0.9925000071525574
1672421577.7431786,94,0.9923999905586243
1672421608.118587,95,0.9926000237464905
1672421639.3213224,96,0.9930999875068665
1672421669.4659855,97,0.9932000041007996
1672421700.1016035,98,0.9929999709129333
1672421730.8033557,99,0.9929999709129333
1672421761.7581837,100,0.9927999973297119
1672421792.5022051,101,0.9933000206947327
1672421822.90775,102,0.9926000237464905
1672421853.566176,103,0.992900013923645
1672421884.1102233,104,0.9927999973297119
1672421914.1409621,105,0.9925000071525574
1672421945.3433084,106,0.9925000071525574
1672421976.4784186,107,0.9929999709129333
1672422006.661931,108,0.9926999807357788
1672422036.8180065,109,0.9925000071525574
1672422067.3004577,110,0.9925000071525574
1672422098.0157785,111,0.9926000237464905
1672422128.3820534,112,0.9927999973297119
1672422158.6281044,113,0.9927999973297119
1672422189.0914547,114,0.9927999973297119
1672422219.390758,115,0.9930999875068665
1672422249.745146,116,0.992900013923645
1672422280.1193087,117,0.9927999973297119
