Wall time,Step,Value
1672729993.0125358,1,0.46619999408721924
1672730038.5973766,2,0.5019000172615051
1672730084.2296827,3,0.6251000165939331
1672730129.8286788,4,0.7361000180244446
1672730175.3317964,5,0.7107999920845032
1672730220.9725044,6,0.7613999843597412
1672730266.4828722,7,0.7437000274658203
1672730312.2191749,8,0.7516999840736389
1672730357.7639215,9,0.8072999715805054
1672730403.4457402,10,0.8342000246047974
1672730449.0486178,11,0.79830002784729
1672730494.7372012,12,0.8519999980926514
1672730537.7797084,13,0.8248999714851379
1672730581.5632432,14,0.8414000272750854
1672730624.848908,15,0.8511999845504761
1672730668.8529172,16,0.879800021648407
1672730712.3853571,17,0.8513000011444092
1672730757.1087217,18,0.8126000165939331
1672730800.0002038,19,0.878000020980835
1672730844.3946955,20,0.8849999904632568
1672730888.6291988,21,0.8840000033378601
1672730932.4635136,22,0.8989999890327454
1672730976.2642772,23,0.8895000219345093
1672731019.3138125,24,0.9083999991416931
1672731061.955262,25,0.8948000073432922
1672731107.7489522,26,0.8956000208854675
1672731152.857586,27,0.904699981212616
1672731198.3137422,28,0.895799994468689
1672731243.1675904,29,0.906499981880188
1672731288.377404,30,0.8652999997138977
1672731334.1559625,31,0.8610000014305115
1672731379.6571195,32,0.916100025177002
1672731424.8082423,33,0.9100000262260437
1672731470.3895338,34,0.8822000026702881
1672731515.6302733,35,0.9208999872207642
1672731559.7249382,36,0.9228000044822693
1672731605.344547,37,0.930400013923645
1672731647.6207228,38,0.9233999848365784
1672731692.6703672,39,0.9204000234603882
1672731738.347439,40,0.9307000041007996
1672731784.0072894,41,0.927299976348877
1672731829.5024593,42,0.919700026512146
1672731873.1026847,43,0.9168000221252441
1672731917.9076054,44,0.9273999929428101
1672731962.9542902,45,0.9308000206947327
1672732007.7079747,46,0.9136999845504761
1672732052.2644217,47,0.9097999930381775
1672732096.7483652,48,0.9341999888420105
1672732141.2685018,49,0.934499979019165
1672732185.94009,50,0.9296000003814697
1672732230.7084725,51,0.9330000281333923
1672732275.4019225,52,0.9323999881744385
1672732319.9764285,53,0.9352999925613403
1672732364.8789265,54,0.9369000196456909
1672732410.0304213,55,0.9370999932289124
1672732454.7936373,56,0.9269000291824341
1672732499.2401779,57,0.9301000237464905
1672732543.905837,58,0.9200000166893005
1672732588.5355852,59,0.9397000074386597
1672732633.4429677,60,0.9426000118255615
1672732678.0200136,61,0.9280999898910522
1672732723.004509,62,0.9388999938964844
1672732767.7961173,63,0.9377999901771545
1672732812.1815739,64,0.9405999779701233
1672732857.1116982,65,0.9269000291824341
1672732901.2921731,66,0.9449999928474426
1672732945.662259,67,0.9343000054359436
1672732989.9638553,68,0.9358000159263611
1672733034.7289724,69,0.9451000094413757
1672733079.4294233,70,0.9412999749183655
1672733123.7051482,71,0.9401000142097473
