Client_ID,KL value,,Average KL
0,0.004514643007169518,,0.003246138186240883
1,0.004951165681233787,
2,0.004335257552668318,
3,0.002273764741736637,
4,0.003198341835436059,
5,0.005781583054057445,
6,0.003037736032586221,
7,0.002769046560706298,
8,0.003425978163088558,
9,0.002302183375193978,
10,0.003142467534979059,
11,0.004497940335060133,
12,0.0015721202247167589,
13,0.004092675959266307,
14,0.0033278080001862814,
15,0.003877500415603594,
16,0.0014493323456570804,
17,0.0015177609604495957,
18,0.0017741900905545675,
19,0.0030812678544674624,
